Domain,Unique Identifier,ID,Name,Tribal Code,Last Change Date,Description,Type
Organization(Organization),61,1119USBR_WQX,Bureau of Reclamation,,1/29/2025 9:29:41 AM,Water Quality Monitoring Data,Federal/US Government
Organization(Organization),1319,1121575,"Environmental Monitoring and Technologies, Inc",,3/20/2023 3:05:14 PM,Water Quality Monitoring Data,Private Industry
Organization(Organization),11666,1143709,NEW HAMPSHIRE DEPARTMENT OF ENVIRONMENTAL SERVICES,,11/28/2023 12:37:28 PM,,*State Government US
Organization(Organization),49,11COETUL_WQX,"Corps of Engineers, Tulsa District",,1/27/1999 12:00:00 AM,Water Quality Monitoring Data,Federal/US Government
Organization(Organization),114,11DELMOD_WQX,Delaware River Basin Commission,,8/2/2017 5:16:49 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),566,11FLKNMS_WQX,Florida Keys National Marine Sanctuary (Florida),,4/17/2006 12:00:00 AM,Water Quality Monitoring Data.,State/US Government
Organization(Organization),178,11NPSWRD_WQX,National Park Service Water Resources Division,,2/26/2025 1:39:49 PM,,Federal/US Government
Organization(Organization),33,11TOX09_WQX,U. S. EPA Region 9 (Monitoring and Assessment Office),,1/21/1999 12:00:00 AM,Priority Pollutant Data,Federal/US Government
Organization(Organization),4147,123225,Indiana Dept of Environmental Mgmt Beach Program,,8/2/2017 2:55:49 PM,Beach Program,State/US Government
Organization(Organization),10546,1328642,Environmental and Chemical Laboratory Services (ECLS)-New Jersey Department of Health (NJDOH),,6/24/2022 5:09:32 PM,,State/US Government
Organization(Organization),9366,16582,Chickaloon Native Village (Tribal),A10,8/13/2020 2:26:46 PM,Chickaloon Native Village (Tribal) || Chickaloon Native Village (Tribal),Tribal
Organization(Organization),353,1CTDPHBM,Connecticut Department of Public Health,,12/20/2024 11:06:38 AM,,*State Government US
Organization(Organization),352,1VTDECWQ,Vermont Dept of Environmental Conservation,,3/13/2024 9:18:40 AM,,*State Government US
Organization(Organization),40,211WVOWR_WQX,Division Of Water And Waste Management,,1/27/2003 12:00:00 AM,Water Quality Monitoring Data for all the Waters in State of West Virginia.,*State Government US
Organization(Organization),550,21AKBCH,Alaska Department of Environmental Conservation (BEACH),,1/2/2025 3:52:22 PM,Beach Monitoring Data,State/US Government
Organization(Organization),389,21ALBCH,Alabama Department of Environmental Management,,1/3/2025 2:59:37 PM,State of Alabama Environmental Agency,State/US Government
Organization(Organization),242,21AQ_WQX,CNMI DIVISION OF ENVIRONMENTAL QUALITY,,9/29/2024 11:52:40 PM,,State/US Government
Organization(Organization),272,21ARIZGW_WQX,Arizona Department of Environmental Quality (Ground water),,7/15/2024 8:31:40 PM,Water Quality Monitoring,State/US Government
Organization(Organization),262,21ARIZ_WQX,Arizona Department Of Environmental Quality,,5/12/2016 1:15:24 AM,Water Quality Monitoring Data for all the Waters in the state,*State Government US
Organization(Organization),422,21AS_WQX,American Samoa Environmental Protection Agency,,6/4/2024 4:16:46 AM,,State/US Government
Organization(Organization),128,21AWIC,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,,2/6/2025 8:49:42 PM,,*State Government US
Organization(Organization),1346,21BRBCH,Bad River Natural Resources Department (Tribal) (BEACH),430,12/24/2024 10:08:56 AM,The Natural Resources Department within the Bad River Tribe,Tribal
Organization(Organization),465,21CABCH,Southern California Coastal Water Research Project (BEACH),,8/2/2017 2:16:30 PM,Contractor for the State of California,State/US Government
Organization(Organization),137,21CAOCSD_WQX,Orange County Sanitation District California,,3/1/2013 12:35:57 PM,Water quality monitoring data,State/US Government
Organization(Organization),28,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,,2/26/2025 7:12:39 PM,Colorado DPHE Water Quality Control Division data migrated from legacy STORET,*State Government US
Organization(Organization),391,21DEBCH,Delaware Dept Natural Resources & Environmental Control,,1/29/2025 1:17:24 PM,Delaware environmental agency,State/US Government
Organization(Organization),59,21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,,2/28/2025 11:35:40 AM,Delaware environmental agency,*State Government US
Organization(Organization),177,21FLACEP_WQX,Alachua County Environmental Protection Department (Florida),,10/9/2024 8:05:40 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),75,21FLACST_WQX,FL Dept. of Environmental Protection,,3/19/1999 12:00:00 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),8206,21FLALTA_WQX,CITY OF ALTAMONTE SPRINGS,,11/16/2023 9:43:37 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),4546,21FLAMEC_WQX,AMEC,,8/3/2017 5:00:03 PM,Water Quality Monitoring data,State/US Government
Organization(Organization),358,21FLANER_WQX,FDEP APALACHICOLA NATIONAL ESTUARINE RESEARCH RESERVE,,1/16/2025 10:19:39 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),456,21FLAVON_WQX,Avon Park Air Force Range - 23 WG DET 1 OLA,,4/11/2016 4:54:36 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),73,21FLA_WQX,"FL Dept. of Environmental Protection, Northeast District",,2/10/2025 1:01:39 PM,Water Quality Monitoring Data,*State Government US
Organization(Organization),1232,21FLBABR_WQX,Babcock Ranch (Florida),,10/12/2010 3:26:12 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),10010,21FLBBAP_WQX,FDEP BISCAYNE BAY AQUATIC PRESERVES,,2/17/2025 11:48:35 AM,Water Quality Monitoring Data,*State Government US
Organization(Organization),79,21FLBFA_WQX,"FL Dept of Environmental Protection , Bream Fisherman Assoc.",,2/5/2025 11:54:40 AM,Partnering of The Bream Fisherman Association with  The Florida Department of Environmental Protection for Water Quality Monitoring for Santa Rosa and Escambia Counties,State/US Government
Organization(Organization),580,21FLBRA_WQX,Biological Research Associates (Florida),,12/19/2012 4:25:34 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),492,21FLBREV_WQX,Brevard County Stormwater Utility Department (Florida),,10/14/2010 9:13:13 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),46,21FLBROW_WQX,Broward County Environmental Protection Department,,10/9/2024 9:13:41 AM,Water Quality Monitoring Data
NELAC Certification #E46053,State/US Government
Organization(Organization),212,21FLBSG_WQX,City of Tampa Bay Study Group (Florida),,11/23/2004 12:00:00 AM,Surface water Biological Sediment,State/US Government
Organization(Organization),10018,21FLCASS_WQX,CITY OF CASSELBERRY,,10/9/2024 9:42:40 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),219,21FLCBA_WQX,CHOCTAWHATCHEE BASIN ALLIANCE,,10/9/2024 11:12:41 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),1296,21FLCCSW_WQX,Charlotte County Stormwater Division,,2/3/2011 12:16:04 PM,Water quality monitoring data,State/US Government
Organization(Organization),1305,21FLCCZM_WQX,Collier County Coastal Zone Management Department (FL),,10/10/2024 8:00:37 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),152,21FLCEN_WQX,"Fl  Dept. of Environmental Protection, Central District",,2/10/2025 1:45:42 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),277,21FLCHAR_WQX,FDEP Charlotte Harbor Aquatic/Buffer Preserves,,10/3/2024 10:07:38 AM,The Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network (CHEVWQMN),State/US Government
Organization(Organization),10022,21FLCHCO_WQX,CHARLOTTE COUNTY,,10/10/2024 9:48:44 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),1071,21FLCHDH,Charlotte County Department of Health,,4/21/2009 12:00:00 AM,,State/US Government
Organization(Organization),1252,21FLCHDH_WQX,Charlotte County Department of Health,,10/12/2010 12:49:59 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),72,21FLCMP_WQX,"FL Dept. of Environmental Protection, OCEC",,2/17/2025 1:40:37 PM,"Okaloosa County Environmental Council water quality monitoring organization (""Aqualab"") partnering with The Florida Department of Environmental Protection for  Water Quality Monitoring of Choctawhatchee Bay and adjacent water bodies.",State/US Government
Organization(Organization),1334,21FLCOAB_WQX,City of Atlantic Beach,,1/31/2025 10:40:39 AM,Water Quality Monitoring data,State/US Government
Organization(Organization),8226,21FLCOBS_WQX,CITY OF BONITA SPRINGS,,10/14/2024 7:59:37 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),8227,21FLCOFM_WQX,CITY OF FORT MYERS,,10/14/2024 9:35:51 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),1317,21FLCOJB_WQX,City of Jacksonville Beach,,10/14/2024 10:28:40 AM,Water Quality Monitoring data,Private Industry
Organization(Organization),274,21FLCOLL_WQX,Collier County Pollution Control (Florida),,10/28/2024 9:25:43 AM,"3339 Tamiami Trail East, Suite 304
Naples, FL 34112",State/US Government
Organization(Organization),8228,21FLCOMI_WQX,CITY OF MARCO ISLAND,,1/31/2025 1:00:37 PM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),1335,21FLCONB_WQX,City of Neptune Beach,,10/15/2024 9:06:38 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),3986,21FLCONS_WQX,The Conservancy of Southwest Florida,,8/27/2013 12:55:55 PM,Water Quality Monitoring,State/US Government
Organization(Organization),10326,21FLCOPC_WQX,City of Plant City,,10/15/2024 9:38:40 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),4586,21FLCOSP_WQX,City of St Petersburg,,10/15/2024 10:11:39 AM,Water Quality Monitoring data,State/US Government
Organization(Organization),567,21FLCOT_WQX,City of Tallahassee Stormwater,,10/15/2024 10:35:39 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),386,21FLCPSJ_WQX,City of Port St. Joe Wastewater Treatment Plant (Florida),,11/18/2003 12:00:00 AM,water quality monitoring data,State/US Government
Organization(Organization),507,21FLCPSL_WQX,CITY OF PORT SAINT LUCIE,,10/15/2024 11:31:37 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),9766,21FLCRCP_WQX,CORAL REEF CONSERVATION PROGRAM,,10/15/2024 12:09:39 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),345,21FLDADE_WQX,Dade Environmental Resource Management (Florida),,10/15/2024 1:30:41 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),3366,21FLDELT_WQX,City of Deltona,,10/16/2024 8:33:39 AM,Water Quality Monitoring,Local/US Government
Organization(Organization),270,21FLDOH_WQX,"Division of Environmental Health, Bureau of Water Programs",,2/5/2025 10:06:41 AM,Floridas Healthy Beaches Program Water Quality Data,State/US Government
Organization(Organization),8229,21FLDUNE_WQX,CITY OF DUNEDIN,,12/9/2024 9:25:42 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),10021,21FLECUA_WQX,EMERALD COAST UTLITIES AUTHORITY,,10/16/2024 9:01:40 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),148,21FLEECO_WQX,Lee County,,10/16/2024 12:17:48 PM,Ambient Surface Water Quality Monitoring Data,State/US Government
Organization(Organization),443,21FLERDI_WQX,"Environmental Research and Design, Inc  (Florida)",,8/17/2004 12:00:00 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),10327,21FLESC_WQX,ESCAMBIA COUNTY,,10/16/2024 10:23:43 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),8230,21FLESPI_WQX,"ENVIRONMENTAL SERVICES AND PERMITTING, INC.",,10/16/2024 12:44:52 PM,Water Quality Monitoring Data,Private Industry
Organization(Organization),10016,21FLFLAT_WQX,FLATWOODS CONSULTING GROUP,,3/20/2024 5:01:54 PM,Water Quality Monitoring Data,Private Non-Industrial
Organization(Organization),1253,21FLFMRI_WQX,Fish and Wildlife Research Institute / FWC,,1/20/2011 10:49:01 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),8946,21FLFRYD_WQX,FRYDENBORG ECOLOGIC LLC,,10/16/2024 1:09:36 PM,Water Quality Monitoring Data,Private Industry
Organization(Organization),8231,21FLFSI_WQX,HOWARD T ODUM FLORIDA SPRINGS INSTITUTE,,10/17/2024 7:48:35 AM,Water Quality Monitoring Data,Private Non-Industrial
Organization(Organization),157,21FLFTM_WQX,"FL Dept. of Environmental Protection, South District",,2/10/2025 2:10:35 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),8232,21FLFWC_WQX,FLORIDA FISH AND WILDLIFE CONSERVATION COMMISSION,,10/17/2024 8:23:42 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),425,21FLGAEP_WQX,Georgia Environmental Protection Division,,8/2/2017 7:36:40 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),446,21FLGBO1_WQX,National Health and Environmental Effect Research-NHEERL(FL),,8/26/2004 12:00:00 AM,"Water Quality Monitoring Data: USEPA Office of Research and Development, National Health and Environmental Effects Research Laboratory (NHEERL), Gulf Ecology Division",State/US Government
Organization(Organization),48,21FLGCWW_WQX,Gilcrist County Well Watch (Florida),,11/23/2004 12:00:00 AM,Groundwater Monitoring,State/US Government
Organization(Organization),58,21FLGFWF_WQX,Florida Fish and Wildlife Conservation Commission,,2/24/2003 12:00:00 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),12646,21FLGJAX_WQX,GROUNDWORK JACKSONVILLE INC,,1/16/2025 3:22:41 PM,Water Quality Monitoring Data,Private Non-Industrial
Organization(Organization),343,21FLGPC_WQX,Gulf Power Company (Florida),,2/19/2003 12:00:00 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),489,21FLGTM_WQX,GUANA TOLOMATO MATANZAS NATIONAL ESTUARINE RESEARCH RESERVE,,10/17/2024 9:04:38 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),8233,21FLGWMS_WQX,FDEP GROUNDWATER MANAGEMENT SECTION,,10/2/2024 9:25:22 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),78,21FLGW_WQX,FL Dept. of Environmental Protection,,2/14/2025 3:42:40 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),481,21FLHBOI_WQX,Harbor Branch Oceanographic Institution (Florida),,1/28/2005 12:00:00 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),10009,21FLHESD_WQX,HILLSBOROUGH COUNTY ENVIRONMENTAL SERVICES DIVISION,,10/17/2024 10:01:44 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),132,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,,2/3/2025 1:45:45 PM,"Ambient water quality monitoring data collected by Hillsborough County Environmental Protection Commission, Monitoring and Analysis Section

Note: Detection limit for Enterococcus bacteria is 2 / 100 mL unless otherwise indicated for 2001.",State/US Government
Organization(Organization),305,21FLIMCA_WQX,IMC Agrico (Florida),,6/28/2002 12:00:00 AM,Surface Water Data,State/US Government
Organization(Organization),1332,21FLJEA_WQX,Jacksonville Electric Authority,,10/21/2024 9:29:49 AM,Water Quality Monitoring data,State/US Government
Organization(Organization),83,21FLJXWQ_WQX,City of Jacksonville,,2/11/2025 10:00:44 AM,Water Quality Monitoring data,State/US Government
Organization(Organization),484,21FLKEYW_WQX,City of Key West (Florida),,2/22/2005 12:00:00 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),8234,21FLKISS_WQX,CITY OF KISSIMMEE,,2/3/2025 2:23:38 PM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),10013,21FLKNMS_WQX,FLORIDA KEYS NATIONAL MARINE SANCTUARY,,2/5/2025 9:39:35 AM,Water Quality Monitoring Data,*State Government US
Organization(Organization),467,21FLKTNC_WQX,The Nature Conservancy of the Florida Keys,,8/2/2017 7:42:36 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),71,21FLKWAT_WQX,FLORIDA LAKEWATCH,,2/3/2025 2:50:40 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),318,21FLLCHD_WQX,Lee County Hyacinth Control District (Florida),,12/4/2002 12:00:00 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),188,21FLLCPC_WQX,Lake County Water Resource Management,,10/22/2024 8:49:54 AM,Water Resource Monitoring for Lake County,Local/US Government
Organization(Organization),8235,21FLLEHI_WQX,LEHIGH ACRES MUNICIPAL SERVICES IMPROVEMENT DISTRICT,,10/22/2024 2:11:39 PM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),476,21FLLEON_WQX,Leon County Public Works (Florida),,10/22/2024 2:51:40 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),51,21FLLOXB_WQX,Loxahatchee River District (Florida),,11/23/2004 12:00:00 AM,Biological Data,State/US Government
Organization(Organization),50,21FLLOX_WQX,Loxahatchee River District,,10/23/2024 8:39:47 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),12647,21FLMAIT_WQX,CITY OF MAITLAND,,1/17/2025 8:50:39 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),304,21FLMANA_WQX,Manatee County Parks and Natural Resources Department (Florida),,10/23/2024 9:20:40 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),10015,21FLMAR_WQX,MARTIN COUNTY BOARD OF COUNTY COMMISSIONERS,,10/24/2024 7:29:48 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),1297,21FLMAYP_WQX,Naval Station Mayport,,10/24/2024 8:41:40 AM,Water Quality Monitoring data,Federal/US Government
Organization(Organization),268,21FLMCGL_WQX,"McGlynn Laboratories, Inc",,10/24/2024 10:01:37 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),10008,21FLMONR_WQX,MONROE COUNTY BOARD OF COUNTY COMMISSIONERS,,3/22/2024 11:42:40 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),8236,21FLMOSA_WQX,"MOSAIC FERTILIZER, LLC.",,12/17/2024 4:28:36 PM,Water Quality Monitoring Data,Private Industry
Organization(Organization),424,21FLMRC_WQX,Marine Resource Council of East Florida,,3/14/2024 2:51:41 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),10014,21FLMWK_WQX,MIAMI WATERKEEPER,,10/29/2024 10:09:40 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),418,21FLNAPL_WQX,City of Naples (Florida),,10/29/2024 1:34:41 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),10019,21FLNOPO_WQX,CITY OF NORTH PORT,,10/29/2024 2:18:40 PM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),10012,21FLNUTT_WQX,NUTTER AND ASSOCIATES,,10/29/2024 3:00:42 PM,Water Quality Monitoring Data,Private Industry
Organization(Organization),31,21FLNWFD_WQX,Northwest  Florida Water Management District,,10/30/2024 1:31:47 PM,Ambient Water Quality Monitoring Data,State/US Government
Organization(Organization),253,21FLORAN_WQX,Orange County Environmental (Florida),,10/30/2024 3:32:39 PM,Ambient Water Quality Monitoring of Data,State/US Government
Organization(Organization),316,21FLORL_WQX,City of Orlando - Streets and Stormwater Division (Florida),,10/31/2024 8:20:44 AM,"Within the Stormwater Division, our mission is to collect and maintain, through water samples, monitoring and inspections, the data necessary to support the preservation of the quality of Orlando's lakes.",State/US Government
Organization(Organization),10020,21FLOSCE_WQX,OSCEOLA COUNTY,,3/22/2024 1:16:39 PM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),1254,21FLPASC_WQX,Pasco County Stormwater Management Division,,10/31/2024 9:37:42 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),228,21FLPBCH_WQX,Palm Beach County Environmental Resources Management Departm,,10/31/2024 10:30:48 AM,Water Quality Monitoring,State/US Government
Organization(Organization),8237,21FLPBSD_WQX,PELICAN BAY SERVICES,,11/1/2024 9:32:50 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),356,21FLPCSW_WQX,PROJECT COAST - Southwest Florida Water Management District,,12/12/2018 2:18:57 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),104,21FLPDEM_WQX,Pinellas County Dept. of Environmental Management,,11/1/2024 9:56:40 AM,The Water Resources Management Section (WRMS) of the Pinellas County Department of Environmental Management (DEM) began the Surface Water Ambient Monitoring Program (SWAMP) in 1990 as part of the County Comprehensive plan of 1989.,State/US Government
Organization(Organization),149,21FLPNS_WQX,"FL Dept. of Environmental Protection, Northwest District",,2/11/2025 1:51:43 PM,Water Quality Monitoring Data for the Watershed Management Section of the Water Resources Department of The Florida Department of Environmental Protection,State/US Government
Organization(Organization),198,21FLPOLK_WQX,Polk County Natural Resources Division,,11/4/2024 9:51:41 AM,"To monitor, manage, prtoect and improve the groundwater and surface water resources of Polk County",State/US Government
Organization(Organization),290,21FLRCID_WQX,Reedy Creek Improvement District - Env Services (Florida),,11/5/2024 8:22:43 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),1255,21FLROOK_WQX,FDEP Rookery Bay National Estuarine Research Preserve,,12/9/2024 10:13:24 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),10011,21FLSABR_WQX,ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,,11/5/2024 9:23:43 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),213,21FLSARA_WQX,Sarasota County Environmental Services,,11/14/2024 9:03:37 AM,"Surface Water, Ground Water, Biological, & Sediment.",State/US Government
Organization(Organization),1233,21FLSBL_WQX,"City of Sanibel, Natural Resources Department (Florida)",,11/15/2024 8:39:35 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),323,21FLSCCF_WQX,SANIBEL CAPTIVA CONSERVATION FOUNDATION,,11/15/2024 9:02:48 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),12666,21FLSCWK_WQX,SUNCOAST WATER KEEPERS,,1/16/2025 8:37:39 AM,Water Quality Monitoring Data,Volunteer
Organization(Organization),150,21FLSEAS_WQX,Florida Department of Environmental Protection,,12/14/2018 9:29:45 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),180,21FLSEM_WQX,Seminole  County (Florida),,11/15/2024 10:16:41 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),43,21FLSFWM_WQX,South Florida Water Management District,,11/15/2024 11:42:43 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),1077,21FLSGCSP,South Gulf Cove Sampling Project,,4/21/2009 12:00:00 AM,,State/US Government
Organization(Organization),12667,21FLSJUD_WQX,ST. JOHNS COUNTY UTILITY DEPARTMENT,,1/17/2025 9:32:50 AM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),54,21FLSJWM_WQX,St.  Johns River Water Management District,,11/15/2024 1:25:41 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),643,21FLSMRC_WQX,"SMR Communities, Inc. (Florida)",,2/17/2025 12:58:38 PM,,State/US Government
Organization(Organization),136,21FLSUW_WQX,Suwannee River Water Management District,,11/18/2024 11:01:41 AM,Water quality Monitoring Data,State/US Government
Organization(Organization),216,21FLSWFD_WQX,Southwest Florida Water Management District,,2/7/2025 9:03:42 AM,Water Quality Monitoring Data,State/US Government
Organization(Organization),532,21FLTBW_WQX,Tampa Bay Water,,11/18/2024 11:59:40 AM,Water Quality Monitoring Data.¶,State/US Government
Organization(Organization),8307,21FLTHAS_WQX,"Turrell, Hall , Inc.",,1/25/2019 11:22:59 AM,Water Quality Monitoring Data,Private Industry
Organization(Organization),8246,21FLTHLR_WQX,Florida Department of Environmental Protection-Tallahassee ROC,,12/18/2018 2:10:38 PM,Florida Department of Environmental Protection-Tallahassee ROC,*State Government US
Organization(Organization),8238,21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,2/11/2025 2:20:43 PM,Water quality monitoring data,State/US Government
Organization(Organization),153,21FLTPA_WQX,"FL Dept. Environmental Protection, Southwest District",,2/14/2025 2:30:22 PM,"State environmental regulatory agency which generates water and sediment quality data, physicochemical data and biological data.",State/US Government
Organization(Organization),10017,21FLUFSW_WQX,UNIVERSITY OF FLORIDA (SOIL AND WATER SCIENCES DEPARTMENT),,11/18/2024 12:40:35 PM,Water Quality Monitoring Data,University/College
Organization(Organization),57,21FLVEMD_WQX,Volusia County Environmental Health Lab,,11/18/2024 1:07:35 PM,The VCEHL is a full service local laboratory formed by combining County of Volusia Environmental Management Services and state Department of Health personnel.  Ambient monitoring of three river systems is conducted.,State/US Government
Organization(Organization),12006,21FLVOE_WQX,VILLAGE OF ESTERO,,11/18/2024 1:26:38 PM,Water Quality Monitoring Data,Local/US Government
Organization(Organization),8239,21FLWET_WQX,FDEP WATERSHED EVALUATION AND TMDL SECTION,,12/7/2018 3:24:40 PM,Water Qaulity Monitoring,State/US Government
Organization(Organization),423,21FLWPBH_WQX,City of West Palm Beach (Florida),,11/23/2004 12:00:00 AM,Water Quality,State/US Government
Organization(Organization),154,21FLWPB_WQX,"FL Dept. of Environmental Protection, Southeast District",,2/14/2025 1:47:38 PM,Water Quality Monitoring Data,State/US Government
Organization(Organization),151,21FLWQA_WQX,FDEP Watershed Assessment Section (WAS),,1/30/2025 9:50:26 AM,Watershed Assessment Section (WAS) - Formerly WQAS
Surface Water Quality Monitoring Data and TMDLs,State/US Government
