Domain,Unique Identifier,Name,Description,Last Change Date
Sample Tissue Anatomy(SampleTissueAnatomyName),9,"Bone, Acellular","Not consisting of, divided into, or containing cells.(especially of protozoa) consisting of one cell only. Acellular bone is true bone, differing from all other vertebrate bone in the total lack of enclosed osteocytes",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),10,"Bone, Cellular","There are two main types of bone cells: osteocytes and osteoblasts. (i.e., bone containing osteocytes that are regularly spaced throughout the bone matrix). Osteoblasts is a cell that secretes the matrix (composed of protein and minerals) for bone formation.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),11,"Bone, Marrow",A semi-solid tissue which may be found within the spongy or cancellous portions of bones.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),29,Brain,"An organ of soft nervous tissue contained in the skull of vertebrates, functioning as the coordinating center of sensation and nervous activity.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),83,Carapace,"The hard upper shell of a turtle, crustacean, or arachnid.",10/15/2007 9:44:43 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),18,Connective Tissue,"Tissue that connects, supports, binds, or separates other tissues or organs, typically having relatively few cells embedded in an amorphous matrix, often with collagen or other fibers, and including cartilaginous, fatty, and elastic tissues.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),44,Digestive Gland,"a glandular organ of digestion present in crustaceans, mollusks, and certain other invertebrates.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),27,Ear,The organ of hearing and balance in humans and other vertebrates.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),52,Edible Portion,,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),50,Egg/Ovum,The female reproductive cell in animals and plants.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),28,Eye,Each of a pair of globular organs in the head through which people and vertebrate animals see.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),19,Fat/Adipose Tissue,"A natural oily or greasy substance occurring in animal bodies, especially when deposited as a layer under the skin or around certain organs.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),68,Feather,"Any of the flat appendages growing from a bird's skin and forming its plumage, consisting of a partly hollow horny shaft fringed with vanes of barbs.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),25,Feces,Waste matter discharged from the bowels after food has been digested.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),66,Fin,A flattened appendage on various parts of the body of many aquaticvertebrates and some invertebrates,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),54,"Fish Fillet, Homog., Skin Off",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),53,"Fish Fillet, Homog., Skin On",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),56,"Fish Fillet, Left, Skin Off",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),55,"Fish Fillet, Left, Skin On",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),58,"Fish Fillet, Right, Skin Off",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),57,"Fish Fillet, Right, Skin On",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),60,"Fish Fillet, Whole, Skin Off",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),59,"Fish Fillet, Whole, Skin On",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),61,"Fish Fillet, With Belly Flap",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),86,"Fish Fillet,Scaleless, Skin On",,4/8/2015 9:08:26 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),65,Fish Scales,A small rigid plate that grows out of the skin of a fish. ,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),75,Flower,"The seed-bearing part of a plant, consisting of reproductive organs (stamens and carpels) that are typically surrounded by a brightly colored corolla (petals) and a green calyx (sepals).",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),47,Foot,"The lower extremity of the leg below the ankle, on which an animal stands or walks.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),14,Fore Gut,"The anterior part of the gut, toward the mouth.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),78,Fruit,The sweet and fleshy product of a tree or other plant that contains seed and can be eaten as food.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),39,Gall Bladder,"The small sac-shaped organ beneath the liver, in which bile is storedafter secretion by the liver and before release into the intestine.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),64,Gill Rakers,Bony or cartilaginous outgrowths that project from the branchial arch.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),63,Gills,"The respiratory organ of fishes and some amphibians, by which oxygen is extracted from water flowing over surfaces within or attached to the walls of the pharynx.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),84,Gonads,An organ that produces gametes; a testis or ovary.,10/21/2013 9:44:43 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),12,Gut,The stomach or belly.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),45,Head,"The front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),30,Heart,A hollow muscular organ that pumps the blood through the circulatory system by rhythmic contraction and dilation.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),82,Hepatopancreas,"A glandular organ of digestion present in crustaceans, mollusks, and certain other invertebrates.",7/12/2016 12:00:00 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),13,Hind Gut,"The posterior part of the gut, toward the anus.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),43,Intestine,The lower part of the digestive system from the end of the stomach to the anus.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),33,Kidney,"Each of a pair of organs in the abdominal cavity of mammals, birds, and reptiles, excreting urine.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),74,Leaf,"A flattened structure of a higher plant, typically green and bladelike, that is attached to a stem directly or via a stalk. Leaves are the main organs of photosynthesis and transpiration.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),37,Liver,"A large lobed glandular organ in the abdomen of vertebrates, involved in many metabolic processes.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),38,"Liver, Edible Portion",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),31,Lung,"Each of the pair of organs situated within the rib cage, consisting of elastic sacs with branching passages into which air is drawn, so that oxygen can pass into the blood and carbon dioxide be removed.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),24,Milk,"An opaque white fluid rich in fat and protein, secreted by female mammals for the nourishment of their young.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),3,Mixed Parts,,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),17,"Muscle, Somatic",includes most skeletal muscle.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),16,"Muscle, Visceral","Visceral muscle tissue, or smooth muscle, is tissue associated with the internal organs of the body, especially those in the abdominal cavity. There are three types of muscle in the body: skeletal, smooth, and cardiac. As with any muscle, the smooth, involuntary muscles of the visceral muscle tissue (which lines the blood vessels, stomach, digestive tract, and other internal organs) are composed of bundles of specialized cells capable of contraction and relaxation to create movement. ",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),15,Muscle/Muscle Tissue,"A band or bundle of fibrous tissue in an animal body that has the ability to contract, producing movement in or maintaining the position of parts of the body.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),20,Nerve Tissue,"A whitish fiber or bundle of fibers that transmits impulses of sensation to the brain or spinal cord, and impulses from these to the muscles and organs.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),85,Non-Lethal Fish Tissue Plug,,10/31/2014 12:00:00 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),161,Offal,The entrails and internal organs of an animal used as food.,2/22/2017 12:47:02 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),62,Otoliths,"Each of three small oval calcareous bodies in the inner ear of vertebrates, involved in sensing gravity and movement.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),48,Ovary,A female reproductive organ in which ova or eggs are produced.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),41,Pancreas,A large gland behind the stomach which secretes digestive enzymes into the duodenum.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),76,Pistil,"The female organs of a flower, comprising the stigma, style, and ovary.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),71,Root,"The part of a plant which attaches it to the ground or to a support, typically underground, conveying water and nourishment to the rest of the plant via numerous branches and fibers.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),72,Root/Tuber,A much thickened underground part of a stem or rhizome.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),23,Saliva,"Watery liquid secreted into the mouth by glands, providing lubrication for chewing and swallowing, and aiding digestion.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),79,Seed,"A flowering plant's unit of reproduction, capable of developing into another such plant.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),7,Skeleton,"An internal or external framework of bone, cartilage, or other rigid material supporting or containing the body of an animal.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),6,Skin,The thin layer of tissue forming the natural outer covering of the body of an animal.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),221,Skin-On Fillets/Scales_On,,1/26/2018 11:49:28 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),36,Spleen,An abdominal organ involved in the production and removal of blood cells in most vertebrates and forming part of the immune system.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),77,Stamen,"The male fertilizing organ of a flower, typically consisting of a pollen-containing anther and a filament.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),73,Stem,"The main body or stalk of a plant or shrub, typically rising above the ground.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),42,Stomach,The internal organ in which the major part of the digestion of food occurs.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),51,Tentacles,"A slender, flexible limb or appendage in an animal, especially around the mouth of an invertebrate, used for grasping or moving about, or bearing sense organs.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),49,Testes,An organ which produces spermatozoa (male reproductive cells).,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),35,Thymus,A lymphoid organ situated in the neck of vertebrates that produces T cells for the immune system.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),242,Tissue+Mantle Cavity Fluid,"The mantle cavity is a central feature of molluscan biology. This cavity is formed by the mantle skirt, a double fold of mantle which encloses a water space. This space contains the mollusc's gills, anus, and organs for taste, excretion and reproductive organs.",9/11/2019 1:51:35 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),243,"Tissue, Unspecified","Any of the distinct types of material of which animals or plants are made, consisting of specialized cells and their products.",9/11/2019 1:50:03 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),26,Urine,"A watery, typically yellowish fluid stored in the bladder and discharged through the urethra.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),95,"Whole Bird, Featherless,SkinOf",,7/21/2015 3:26:13 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),93,"Whole Bird, Featherless,SkinOn",,7/21/2015 3:23:39 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),94,"Whole Bird, Feathers, Skin Off",,7/21/2015 3:25:08 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),92,"Whole Bird, Feathers, Skin On",,7/21/2015 3:21:27 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),81,"Whole Fish, Homog., Skin Off",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),80,"Whole Fish, Homog., Skin On",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),97,"Whole Fish, No Eggs/Muscle/Residual Ovaries","Residual fish after removal of eggs, muscle and residual ovaries",11/8/2023 10:51:06 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),200,"Whole Fish, No Stomach Contents",Fish with stomach contents removed,3/14/2022 3:08:53 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),201,"Whole Fish,Alimentary Tract",,4/18/2017 9:23:28 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),96,"Whole Fish,BeheadGutted,SkinOn",,1/28/2016 10:54:46 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),181,"Whole Fish,BeheadGuttedSkinOff",,3/10/2017 7:42:21 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),1,Whole Organism,"An organism may be defined as an assembly of molecules functioning as a more or less stable whole that exhibits the properties of life. Any individual entity that embodies the properties of life such as ""any living structure, such as a plant, animal, fungus or bacterium, capable of growth and reproduction""",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),203,"Whole, No Exoskeleton/Shell","Whole organism, no exoskeleton or shell",7/11/2023 7:53:18 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),202,"Whole, NoStomachContents/Gills","Whole organism, no stomach contents or gills",7/11/2023 7:53:18 PM
Sample Tissue Anatomy(SampleTissueAnatomyName),2,"Whole, Not Gut",,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),67,Wing,A modified forelimb that bears large feathers and is used for flying.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),70,Wood,The hard fibrous material that forms the main substance of the trunk or branches of a tree or shrub.,8/12/2006 12:55:37 AM

