Domain,Unique Identifier,Name,Description,Last Change Date
Method Speciation(MethodSpeciationName),15,as CO3,"Carbonate a salt of carbonic acid (H2CO3), characterized by the presence of the carbonate ion, a polyatomic ion with the formula of CO 2− 3.",9/17/2009 9:58:40 AM
Method Speciation(MethodSpeciationName),117,as Ca,"Calcium is a chemical element with atomic number 20, and atomic weight 40.078(4 u ± 0.0006 u. It is the first element in group 2 (alkaline earth metals).",2/28/2017 12:28:57 PM
Method Speciation(MethodSpeciationName),12,as CaCO3,"Calcium carbonate is a common substance found in rocks in all parts of the world, and is the main component of shells of marine organisms, snails, coal balls, pearls, and eggshells. It is the active ingredient in agricultural lime, and is created when Ca ions in hard water react with carbonate ions creating limescale.",7/23/2009 8:50:35 AM
Method Speciation(MethodSpeciationName),319,as Chlorophyll,"Chlorophyll is one of the most important pigments in nature. Through the process of… The chlorophyll molecule consists of a central magnesium atom surrounded by a nitrogen-containing structure called a porphyrin ring. attached to the ring is a long carbon-hydrogen side chain, known as a phytol chain",4/19/2020 10:56:28 AM
Method Speciation(MethodSpeciationName),320,as Chlorophyll a,"Chlorophyll a is a specific form of chlorophyll used in oxygenic photosynthesis. It absorbs most energy from wavelengths of violet-blue and orange-red light. It also reflects green-yellow light, and as such contributes to the observed green color of most plants.",4/19/2020 10:57:59 AM
Method Speciation(MethodSpeciationName),19,as Cl,"Chlorine is a chemical element with symbol Cl and atomic number 17. The second-lightest of the halogens, it appears between fluorine and bromine in the periodic table Chlorine is a nonmetal and a yellow-green gas at room temperature.",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),299,as Co,"Cobalt is a chemical element with the symbol Co and atomic number 27. Like nickel, cobalt is found in the Earth's crust only in chemically combined form, save for small deposits found in alloys of natural meteoric iron. The free element, produced by reductive smelting, is a hard, lustrous, silver-gray metal.",4/14/2020 8:53:19 AM
Method Speciation(MethodSpeciationName),198,as Color,"Color or colour is the characteristic of human visual perception described through color categories.. Specify the color at which analyte is determined.  For research purposes or when analyte values are to be compared  among laboratories, vary or modify the analyte measure value of a given water over a wide range and record each corresponding color response.",12/13/2017 12:41:34 PM
Method Speciation(MethodSpeciationName),177,as Cr,"Chromium is a chemical element with atomic number 24, and atomic weight 51.9961 u ± 0.0006 u. It is the first element in group 6.",11/8/2017 10:29:05 AM
Method Speciation(MethodSpeciationName),34,as Cu,"Copper is a chemical element with the symbol Cu and atomic number 29. It is a soft, malleable, and ductile metal with very high thermal and electrical conductivity. A freshly exposed surface of pure copper has a pinkish-orange color",11/22/2022 1:47:26 PM
Method Speciation(MethodSpeciationName),24,as DPA,"Docosapentaenoic acid designates any straight chain 22:5 fatty acid, that is a straight chain open chain type of polyunsaturated fatty acid which contains 22 carbons and 5 double bonds",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),148,as EEQ,Estrogen equivalents,11/27/2023 12:00:00 AM
Method Speciation(MethodSpeciationName),130,as EPARD_Z,"Light, photosynthetic active radiation at depth (PAR) CALCULATED",4/20/2018 8:43:08 AM
Method Speciation(MethodSpeciationName),131,as EPARU_Z,"Light, photosynthetic active radiation at depth (PAR)",4/20/2018 8:43:08 AM
Method Speciation(MethodSpeciationName),129,as EPAR_S,"Light, photosynthetic active radiation (PAR)",4/20/2018 8:43:08 AM
Method Speciation(MethodSpeciationName),30,as ESBTU,"Samples were assigned to risk categories according to ESBTU(FCV,43) values: no-risk (< or = 1), low (>1 - < or = 2), low-medium (>2 - < or = 3), medium (>3 - < or = 5) and high-risk (>5).",12/21/2015 2:51:43 PM
Method Speciation(MethodSpeciationName),149,as EWT,Eosin water tracer,11/27/2023 12:00:00 AM
Method Speciation(MethodSpeciationName),20,as F,"Fluorine is a chemical element with the symbol F and atomic number 9. It is the lightest halogen and exists as a highly toxic pale yellow diatomic gas at standard conditions. As the most electronegative element, it is extremely reactive, as it reacts with almost all other elements, except for helium and neon.",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),150,as FL,Fluoroscein,11/27/2023 12:00:00 AM
Method Speciation(MethodSpeciationName),297,as Fe,"Iron is a transition metal and atomic number 26, It is by mass the most common element on Earth, forming much of Earth's outer and inner core. lustrous metallic with a grayish tinge",4/14/2020 8:30:46 AM
Method Speciation(MethodSpeciationName),300,as Gd,Gadolinium is a chemical element with the symbol Gd and atomic number 64. Gadolinium is a silvery-white metal when oxidation is removed. It is only slightly malleable and is a ductile rare-earth element. Gadolinium reacts with atmospheric oxygen or moisture slowly to form a black coating.,4/14/2020 8:55:00 AM
Method Speciation(MethodSpeciationName),17,as H,"Hydrogen is the chemical element with the symbol H and atomic number 1. With a standard atomic weight of 1.008, hydrogen is the lightest element in the periodic table. Hydrogen is the most abundant chemical substance in the Universe, constituting roughly 75% of all baryonic mass.",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),200,as H-2,"Deuterium (or hydrogen-2, symbol 2 H  or deuterium, also known as heavy hydrogen) is one of two stable isotopes of hydrogen (the other being protium, or hydrogen-1). The nucleus of a deuterium atom, called a deuteron, contains one proton and one neutron, whereas the far more common protium has no neutrons in the nucleus.",6/22/2022 7:55:25 PM
Method Speciation(MethodSpeciationName),195,as H-3,"Tritium or hydrogen-3 is a rare and radioactive isotope of hydrogen. The nucleus of tritium contains one proton and two neutrons, whereas the nucleus of the common isotope hydrogen-1 contains just one proton, and that of hydrogen-2 contains one proton and one neutron. Decay products: 3He Half-life (t1/2): 12.32 years Isotope mass: 3.01604928 u Excess energy: 14949.794±0.001 keV",6/22/2022 11:30:01 PM
Method Speciation(MethodSpeciationName),196,as H2O,"H2O is the molecular formula of water.It shows the molecular composition of water. In H2O , H stands for hydrogen. And O for oxygen.Thus it means that water is composed of 2 atoms of hydrogen and one atom of oxygen,bonded together by a chemical bond.",2/28/2019 12:00:00 AM
Method Speciation(MethodSpeciationName),356,as H2S,Hydrogen sulfide is a chemical compound with the formula H ₂S. It is a colorless chalcogen hydride gas with the characteristic foul odor of rotten eggs.,11/26/2021 12:00:00 AM
Method Speciation(MethodSpeciationName),201,as H2SO4,"Sulfuric acid (American spelling and the preferred IUPAC name) or sulphuric acid (Commonwealth spelling), known in antiquity as oil of vitriol, is a mineral acid composed of the elements sulfur, oxygen, and hydrogen, with the molecular formula H2SO4",1/8/2024 2:53:36 PM
Method Speciation(MethodSpeciationName),14,as HCO3,Bicarbonate s an intermediate form in the deprotonation of carbonic acid. It is a polyatomic anion with the chemical formula HCO⁻ ₃. Bicarbonate serves a crucial biochemical role in the physiological pH buffering system. ,9/17/2009 9:58:34 AM
Method Speciation(MethodSpeciationName),116,as Hail,pellets of frozen rain which fall in showers from cumulonimbus clouds.,9/20/2024 3:55:06 PM
Method Speciation(MethodSpeciationName),277,as Hg,"Mercury is a naturally-occurring chemical element found in rock in the earth's crust, including in deposits of coal.  On the periodic table, it has the symbol ""Hg"" and its atomic number is 80.   It exists in several forms: elemental (metallic) mercury, inorganic mercury compounds, and methylmercury and other organic compounds. Atomic mass: 200.59 u",3/16/2020 10:17:39 PM
Method Speciation(MethodSpeciationName),217,as IWTU,Interstitial Water Benchmark in Toxic Units,1/26/2018 12:40:55 PM
Method Speciation(MethodSpeciationName),118,as K,"Potassium is a chemical element with  atomic number 194, and atomic weight 39.0983 u ± 0.0006 u. It is the first element in group 1 (alkali metals).",2/28/2017 12:30:02 PM
Method Speciation(MethodSpeciationName),29,as LAS,"Linear Alkylbenzene Sulfonate (LAS) Standard, 1mL = 1mg LAS, 1000ppm LAS, Ricca Chemical. Linear alkylbenzene sulfonate (LAS) is a cytotoxic synthetic anionic surfactant widely present in the environment due to its large-scale production and intensive use in the detergency field.",12/12/2014 12:33:15 PM
Method Speciation(MethodSpeciationName),151,as MC-LR equivalents,Microcystin-LR equivalents,11/27/2023 12:00:00 AM
Method Speciation(MethodSpeciationName),119,as Mg,"Magnesium is a chemical element with atomic number 12, and atomic weight 24.305 u ± 0.002 u. It is group 2, or alkaline earth metals.",2/28/2017 12:31:20 PM
Method Speciation(MethodSpeciationName),115,as Mn,"Manganese is a chemical element with atomic number 25, It is a hard, brittle, silvery metal, often found in minerals in combination with iron",2/25/2025 2:21:16 PM
Method Speciation(MethodSpeciationName),1,as N,"Nitrogen is the chemical element of atomic number 7, a colorless, odorless unreactive gas that forms about 78 percent of the earth's atmosphere.",7/18/2008 11:58:00 AM
Method Speciation(MethodSpeciationName),2,as NH3,"Ammonia is a compound of nitrogen and hydrogen with the formula NH3. The simplest pnictogen hydride, ammonia is a colourless gas with a characteristic pungent smell. It is a common nitrogenous waste, particularly among aquatic organisms, and it contributes significantly to the nutritional needs of terrestrial organisms by serving as a precursor to food and fertilizers. ",7/18/2008 11:58:00 AM
Method Speciation(MethodSpeciationName),338,as NH3/NH4,Ammonia is a compound of nitrogen and hydrogen  OR   NH4+ is the ammonium ion. It has a positive charge and a molecular weight of 18g/mol.,3/21/2022 4:35:25 PM
Method Speciation(MethodSpeciationName),3,as NH4,"Ammonium is an onium cation obtained by protonation of ammonia. It has a role as a human metabolite, a Saccharomyces cerevisiae metabolite and an Escherichia coli metabolite. It is a nitrogen hydride, an ammonium ion, an onium cation and a monovalent inorganic cation. It is a conjugate acid of an ammonia.",7/18/2008 11:58:01 AM
Method Speciation(MethodSpeciationName),4,as NO2,Nitrogen dioxide is the chemical compound with the formula NO−2. It is one of several nitrogen oxides. NO2 is an intermediate in the industrial synthesis of nitric acid.,7/18/2008 11:58:01 AM
Method Speciation(MethodSpeciationName),358,as NO2+NO3,Nitrate and Nitrite,10/25/2021 2:59:10 PM
Method Speciation(MethodSpeciationName),5,as NO3,Nitrate is a polyatomic ion with the molecular formula NO−3 and a molecular mass of 62.0049 u.,7/18/2008 11:58:02 AM
Method Speciation(MethodSpeciationName),16,as Na,"Sodium is a chemical element with the symbol Na (from Latin natrium) and atomic number 11. It is a soft, silvery-white, highly reactive metal. Sodium is an alkali metal, being in group 1 of the periodic table,—the Na+ cation. Its only stable isotope is 23Na. The free metal does not occur in nature, and must be prepared from compounds. Sodium is the sixth most abundant element in the Earth's crust and exists in numerous minerals such as feldspars, sodalite, and rock salt (NaCl). ",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),337,as NaCL,"Sodium chloride (chemical formula NaCl), known as table salt, rock salt, sea salt, and the mineral halite, is an ionic compound consisting of cube-shaped crystals composed of the elements sodium and chlorine",5/5/2020 12:44:38 PM
Method Speciation(MethodSpeciationName),298,as Ni,"Nickel is a chemical element with the symbol Ni and atomic number 28. It is a silvery-white lustrous metal with a slight golden tinge. Nickel belongs to the transition metals and is hard and ductile. It is one of only four elements that are magnetic at or near room temperature, the others being iron, cobalt and gadolinium.",4/14/2020 8:51:14 AM
Method Speciation(MethodSpeciationName),21,as O2,"Oxygen is a chemical element with atomic number 8, and atomic weight 15.999 u Â± 0.0006 u. It is a member of the chalcogen group and By mass, oxygen is the third-most abundant element in the universe, after hydrogen and helium.",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),132,as OD412,"Optical density, also referred to as absorbance, wavelength of 412 nm",6/5/2023 1:51:01 PM
Method Speciation(MethodSpeciationName),133,as OD440,"Optical density, also referred to as absorbance, wavelength of 440 nm",6/5/2023 1:51:01 PM
Method Speciation(MethodSpeciationName),134,as OD450,"Optical density, also referred to as absorbance, wavelength of 450 nm",6/5/2023 1:51:02 PM
Method Speciation(MethodSpeciationName),135,as OD470,"Optical density, also referred to as absorbance, wavelength of 470 nm",6/5/2023 1:51:02 PM
Method Speciation(MethodSpeciationName),120,as OD480,"Optical density, wavelength of 480 nm",4/19/2018 12:56:27 PM
Method Speciation(MethodSpeciationName),136,as OD488,"Optical density, also referred to as absorbance, wavelength of 488 nm",6/5/2023 1:51:02 PM
Method Speciation(MethodSpeciationName),121,as OD510,"Optical density, wavelength of 510 nm",4/19/2018 12:56:27 PM
Method Speciation(MethodSpeciationName),138,as OD532,"Optical density, also referred to as absorbance, wavelength of 532 nm",6/5/2023 2:01:33 PM
Method Speciation(MethodSpeciationName),139,as OD555,"Optical density, also referred to as absorbance, wavelength of 555 nm",6/5/2023 2:01:33 PM
Method Speciation(MethodSpeciationName),140,as OD590,"Optical density, also referred to as absorbance, wavelength of 590 nm",6/5/2023 2:01:33 PM
Method Speciation(MethodSpeciationName),122,as OD630,"Optical density, wavelength of 630 nm",4/19/2018 12:56:27 PM
Method Speciation(MethodSpeciationName),123,as OD645,"Optical density, wavelength of 645 nm",4/19/2018 12:56:27 PM
Method Speciation(MethodSpeciationName),124,as OD647,"Optical density, wavelength of 647 nm",4/19/2018 12:56:27 PM
Method Speciation(MethodSpeciationName),141,as OD650,"Optical density, also referred to as absorbance, wavelength of 650 nm",6/5/2023 2:01:33 PM
Method Speciation(MethodSpeciationName),125,as OD663,"Optical density, wavelength of 663 nm",4/19/2018 1:09:35 PM
Method Speciation(MethodSpeciationName),126,as OD664,"Optical density, wavelength of 664 nm",4/19/2018 1:09:36 PM
Method Speciation(MethodSpeciationName),127,as OD665,"Optical density, wavelength of 665 nm",4/19/2018 1:09:36 PM
Method Speciation(MethodSpeciationName),142,as OD676,"Optical density, also referred to as absorbance, wavelength of 676 nm",6/5/2023 2:01:33 PM
Method Speciation(MethodSpeciationName),128,as OD750,"Optical density, wavelength of 750 nm",4/19/2018 1:09:36 PM
Method Speciation(MethodSpeciationName),28,as OH,"Hydroxide is a diatomic anion with chemical formula OHâˆ’ and Molar mass: 17.01 gÂ·molâˆ’1. It consists of an oxygen and hydrogen atom held together by a covalent bond, and carries a negative electric charge. It is an important but usually minor constituent of water. It functions as a base.",10/15/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),6,as P,"Phosphorus is a chemical element with the symbol P and atomic number 15. Elemental phosphorus exists in two major forms, white phosphorus and red phosphorus, but because it is highly reactive, phosphorus is never found as a free element on Earth.",7/18/2008 11:58:02 AM
Method Speciation(MethodSpeciationName),7,as PO4,"Achemical derivative of phosphoric acid. The phosphate ion (PO3/4) is an inorganic chemical, the conjugate base that can form many different salts.",7/18/2008 11:58:03 AM
Method Speciation(MethodSpeciationName),325,as PTSA,"1,3,6,8-Pyrenetetrasulfonic acid tetrasodium salt hydrate is a fluorescent probe and pH indicator. It fluoresces blue in acidic solutions and in acidic organelles but fluoresces green in more basic organelles. This compound is potentially useful as a coloring agent, biological stain, optical detecting reagent.",4/19/2020 11:16:42 AM
Method Speciation(MethodSpeciationName),321,as Pheophytin a,"Pheophytin A belongs to the class of organic compounds known as chlorins. These are large heterocyclic aromatic ring systems consisting, at the core, of three pyrroles and one pyrroline coupled through four methine linkages.",4/19/2020 11:06:18 AM
Method Speciation(MethodSpeciationName),322,as Phycocyanin,"Phycocyanin is a pigment-protein complex from the light-harvesting phycobiliprotein family, along with allophycocyanin and phycoerythrin. It is an accessory pigment to chlorophyll. All phycobiliproteins are water-soluble, so they cannot exist within the membrane like carotenoids can.",4/19/2020 11:07:18 AM
Method Speciation(MethodSpeciationName),323,as Phycoerythrin,"Phycoerythrin is a red protein-pigment complex from the light-harvesting phycobiliprotein family, present in red algae and cryptophytes, accessory to the main chlorophyll pigments responsible for photosynthesis.",4/19/2020 11:08:33 AM
Method Speciation(MethodSpeciationName),324,as QSE,"Qualaquin (quinine sulfate) is an antimalarial drug used to treat malaria, a disease caused by parasites.",4/19/2020 11:12:54 AM
Method Speciation(MethodSpeciationName),153,as RWT,Rhodamine water tracer,11/27/2023 12:00:00 AM
Method Speciation(MethodSpeciationName),302,as Ra,"Radium is a chemical element with the symbol Ra and atomic number 88. It is also known as the alkaline earth metals. Pure radium is silvery-white, but it readily reacts with nitrogen (rather than oxygen) on exposure to air, forming a black surface layer of radium nitride (Ra3N2). All isotopes of radium are highly radioactive, with the most stable isotope being radium-226, which has a half-life of 1600 years and decays into radon gas (specifically the isotope radon-222).",4/14/2020 9:07:53 AM
Method Speciation(MethodSpeciationName),27,as Ra226,"Radium is a chemical element with atomic number 88, and mass number 226 (most stable isotope). Pure radium is silvery-white, but it readily reacts with nitrogen (rather than oxygen) on exposure to air, forming a black surface layer of radium nitride (Ra3N2). All isotopes of radium are highly radioactive, with the most stable isotope being radium-226, which has a half-life of 1600 years and decays into radon gas (specifically the isotope radon-222) It is the sixth element in group 2.",8/5/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),11,as S,"Sulfur (also spelled sulphur) is a chemical element with the symbol S and atomic number 16. It is abundant, multivalent, and nonmetallic.",7/13/2009 10:08:42 AM
Method Speciation(MethodSpeciationName),8,as SO3,"Sulfur trioxide is the chemical compound with the formula SO3, with a relatively narrow liquid range. In the gaseous form, this species is a significant pollutant, being the primary agent in acid rain.",4/28/2009 3:36:34 PM
Method Speciation(MethodSpeciationName),9,as SO4,"Sulfate or sulphate (see spelling differences) ion is a polyatomic anion with the empirical formula SO2-4. Sulfate is the spelling recommended by IUPAC, but sulphate is used in British English. Sulfates are salts of sulfuric acid and many are prepared from that acid.",4/29/2009 12:00:00 AM
Method Speciation(MethodSpeciationName),357,as SRP,Soluble Reactive Phosphorus,10/25/2021 2:58:36 PM
Method Speciation(MethodSpeciationName),154,as SWT,Sulfurhodamine water tracer,11/27/2023 12:00:00 AM
Method Speciation(MethodSpeciationName),23,as Se,"Selenium is a chemical element with the symbol Se and atomic number 34. It is a nonmetal (more rarely considered a metalloid) with properties that are intermediate between the elements above and below in the periodic table, sulfur and tellurium, and also has similarities to arsenic. ",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),13,as Si,Silicon is a chemical element with the symbol Si and atomic number 14. It is a hard and brittle crystalline solid with a blue-grey metallic lustre. and it is a tetravalent metalloid and semiconductor. ,7/31/2009 10:47:37 AM
Method Speciation(MethodSpeciationName),10,as SiO2,"Silicon dioxide, also known as silica, is an oxide of silicon with the chemical formula SiO2, most commonly found in nature as quartz and in various living organisms.",5/4/2010 10:08:42 AM
Method Speciation(MethodSpeciationName),31,as Sn,"Tin is a chemical element with symbol Sn and a solid at room temperature. Tin is a chemical element with and atomic number 50, and atomic weight 118.710 u Â± 0.0006 u. It is a post-transition metal in group 14.",6/21/2022 6:37:22 PM
Method Speciation(MethodSpeciationName),303,as Ti,"Titanium is the symbol Ti and atomic number 22. It is a lustrous transition metal with a silver color, low density, and high strength. Titanium is resistant to corrosion in sea water, aqua regia, and chlorine. The element occurs within a number of mineral deposits, principally rutile and ilmenite, which are widely distributed in the Earth's crust and lithosphere. The most common compound, titanium dioxide, is a popular photocatalyst and is used in the manufacture of white pigments.",4/14/2020 9:17:19 AM
Method Speciation(MethodSpeciationName),301,as Tl,"Thallium is a chemical element with the symbol Tl and atomic number 81. It is a gray post-transition metal that is not found free in nature. When isolated, thallium resembles tin, but discolors when exposed to air. The method of flame spectroscopy, in which thallium produces a notable green spectral line.  Thallium tends to form the +3 and +1 oxidation states. The +3 state resembles that of the other elements in group 13 (boron, aluminium, gallium, indium).",4/14/2020 9:07:22 AM
Method Speciation(MethodSpeciationName),199,as U,"Uranium is a silvery-white metallic chemical element in the periodic table, with atomic number 92. It is assigned the chemical symbol U. A uranium atom has 92 protons and 92 electrons, of which 6 are valence electrons. Uranium has the highest atomic weight of all naturally occurring elements.",6/22/2022 7:45:50 PM
Method Speciation(MethodSpeciationName),155,as U-nat,"Natural uranium, which is uranium with the same isotopic ratio as found in nature",11/27/2023 12:00:00 AM
Method Speciation(MethodSpeciationName),304,as U308,"Uranium concentrate, commonly referred to as U3O8, is the product created when uranium ore has been mined and milled. The fine powder is packaged in steel drums and shipped to refineries for further processing to prepare it for use as fuel in nuclear reactors.",7/6/2023 3:48:45 PM
Method Speciation(MethodSpeciationName),26,as U3O8,"Triuranium octoxide (U3O8), a yellow powdery substance, is the most stable form of uranium oxide and is the form most commonly found in nature. Molar mass: 842.1 g/mol.  Insoluble in water. Soluble in nitric and sulfuric acids",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),197,as pH,"(potential of hydrogen) is a numeric scale used to specify the acidity or basicity of an aqueous solution.. Specify the pH at which analyte is determined.  For research purposes or when analyte values are to be compared  among laboratories, determine the analyte response of a given  water over a wide range of pH values.",12/13/2017 8:51:27 AM
Method Speciation(MethodSpeciationName),152,as photons,A photon is a particle representing a quantum of light or other electromagnetic radiation,11/27/2023 12:00:00 AM
Method Speciation(MethodSpeciationName),237,as qPCR,bacteria studies involving real-time polymerase chain reaction (qPCR) tests,1/31/2018 3:35:45 PM
Method Speciation(MethodSpeciationName),206,as sum of congeners,as the sum of individual congeners,1/16/2025 5:27:46 PM
Method Speciation(MethodSpeciationName),207,as sum of homolog,as the sum of homolog groups,1/16/2025 5:27:46 PM
Method Speciation(MethodSpeciationName),205,as trichromatic,Trichromacy or trichromatism is the possession of three independent channels for conveying color information,7/2/2024 3:07:15 PM
Method Speciation(MethodSpeciationName),202,purified,"The purified target DNA should be free of contaminants, including proteins, other cellular components and undesired nucleic acids. Purification is based on selective adsorption of DNA to the silica membrane in the presence of high concentrations of chaotropic salts, washes to efficiently remove contaminants, and elution of the DNA with low-salt solutions such as TE buffer or water.",1/18/2024 3:26:41 PM
Method Speciation(MethodSpeciationName),204,purified untreated,purified untreated,1/18/2024 3:26:41 PM
Method Speciation(MethodSpeciationName),203,treated,treated,1/18/2024 3:26:41 PM
Method Speciation(MethodSpeciationName),354,unknown,Unknown or unspecified,11/26/2021 12:00:00 AM

