Domain,Unique Identifier,Code,Name,Description,Last Change Date,Context Code
Local Aquifer(AquiferInformation/LocalAquiferCode),89,01:120TRTR,Tertiary System,120TRTR,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),90,01:120UTRTR,Tertiary System,120UTRTR,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),91,01:121CRNL,Citronelle Formation,121CRNL,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),92,01:121PLCN,Pliocene Series,121PLCN,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),93,01:122CTHL,Catahoula Sandstone,122CTHL,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),94,01:122CTHLS,Catahoula Sandstone,122CTHLS,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),95,01:122MCEC,Miocene-Eocene Series,122MCEC,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),96,01:122MOCN,Miocene Series,122MOCN,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),97,01:122PHMK,Paynes Hammock Sand,122PHMK,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),98,01:122RSDM,Residuum-South Alabama,122RSDM,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),99,01:123BCTN,Bucatunna Clay Member of Byram Formation,123BCTN,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),100,01:123BYRM,Byram Formation,123BYRM,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),101,01:123CCKS,Chickasawhay Limestone,123CCKS,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),102,01:123FRHL,Forest Hill Sand,123FRHL,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),103,01:123GLND,Glendon Limestone Member of Byram Formation,123GLND,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),104,01:123MRNN,Marianna Limestone,123MRNN,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),105,01:123OLGC,Oligocene Series,123OLGC,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),106,01:123RDBF,Red Bluff Clay,123RDBF,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),107,01:123VKBG,Vicksburg Group,123VKBG,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),108,01:124BLDG,Bells Landing Marl Member of Tuscahoma Sand,124BLDG,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),109,01:124BSHI,Bashi Marl Member of Hatchetigbee Formation,124BSHI,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),110,01:124CLBR,Claiborne Group,124CLBR,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),111,01:124COCO,Cocoa Sand Member of Yazoo Clay,124COCO,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),112,01:124EOCN,Eocene Series,124EOCN,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),113,01:124GGLG,Greggs Landing Marl Member of Tuscahoma Sand,124GGLG,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),114,01:124GMPH,Grampian Hills Member of Nanafalia Formation,124GMPH,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),115,01:124GSPR,Gosport Sand,124GSPR,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),116,01:124GVCK,Gravel Creek Sand Member of Nanafalia Formation,124GVCK,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),117,01:124HCGB,Hatchetigbee Formation,124HCGB,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),118,01:124JCKS,Jackson Group,124JCKS,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),119,01:124LSBN,Lisbon Formation,124LSBN,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),120,01:124MDBC,Moodys Branch Formation,124MDBC,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),121,01:124MRDN,Meridian Sand Member of Tallahatta Formation,124MRDN,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),122,01:124NSHB,Neshoba Sand Member of Tallahatta Formation,124NSHB,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),123,01:124NTCK,North Twistwood Creek Member of Yazoo Clay,124NTCK,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),124,01:124OCAL,Ocala Limestone,124OCAL,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),125,01:124PCHT,Pachuta Marl Member of Yazoo Clay,124PCHT,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),126,01:124SHBT,Shubuta Member of Yazoo Clay,124SHBT,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),127,01:124TLLT,Tallahatta Formation,124TLLT,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),128,01:124WLCX,Wilcox Group,124WLCX,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),129,01:124WLCXG,Wilcox Group,124WLCXG,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),130,01:124YZOO,Yazoo Clay,124YZOO,10/10/2019 10:42:33 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),131,01:125CLBF,Coal Bluff Marl Member of Naheola Formation,125CLBF,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),132,01:125CLTN,Clayton Formation,125CLTN,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),133,01:125MCBD,Mc Bryde Limestone Member of Clayton Formation,125MCBD,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),134,01:125MDWY,Midway Group,125MDWY,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),135,01:125MLDG,Matthews Landing Marl Member of Porters Creek Clay,125MLDG,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),136,01:125NHOL,Naheola Formation,125NHOL,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),137,01:125NNFL,Nanafalia Formation,125NNFL,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),138,01:125OKHL,Oak Hill Member of Naheola Formation,125OKHL,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),139,01:125PLCN,Paleocene Series,125PLCN,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),140,01:125PNBR,Pine Barren Member of Clayton Formation,125PNBR,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),141,01:125PRCK,Porters Creek Clay,125PRCK,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),142,01:125SLMN,Salt Mountain Limestone,125SLMN,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),143,01:125TSCM,Tuscahoma Sand,125TSCM,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),144,01:125WLCX,Wilcox Group,125WLCX,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),145,01:200MSZC,Mesozoic Erathem,200MSZC,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),146,01:210CCJC,Cretaceous-Jurassic Systems,210CCJC,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),147,01:210CRCS,Cretaceous System,210CRCS,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),148,01:211ARCL,Arcola Limestone Member of Mooreville Chalk,211ARCL,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),149,01:211BLFN,Blufftown Formation,211BLFN,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),150,01:211BLFP,Bluffport Marl Member of Demopolis Chalk,211BLFP,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),151,01:211COKR,Coker Formation,211COKR,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),152,01:211CRCSU,Upper Cretaceous Series,211CRCSU,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),153,01:211CSST,Cusseta Sand Member of Rirley Formation,211CSST,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),154,01:211CUST,Cusseta Sand Member of Ripley Formation,211CUST,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),155,01:211DMPL,Demopolis Chalk,211DMPL,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),156,01:211EMCS,"Eutaw-Mc Shan Formations, Undifferentiated",211EMCS,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),157,01:211EOLN,Eoline Member,211EOLN,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),158,01:211EUTW,Eutaw Formation,211EUTW,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),159,01:211GORD,Gordo Formation,211GORD,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),160,01:211MCSN,Mc Shan Formation,211MCSN,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),161,01:211MRVL,Mooreville Chalk,211MRVL,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),162,01:211MSSV,Massive Sand,211MSSV,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),163,01:211PBLF,Prairie Bluff Chalk,211PBLF,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),164,01:211PROT,Perote Member of Providence Sand,211PROT,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),165,01:211PVDC,Providence Sand,211PVDC,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),166,01:211RPLY,Ripley Formation,211RPLY,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),167,01:211SELM,Selma Group,211SELM,10/10/2019 10:42:34 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),168,01:211SRGR,Stringer Sand,211SRGR,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),169,01:211TBGB,Tombigbee Sand Member of Eutaw Formation,211TBGB,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),170,01:211TSCL,Tuscaloosa Group,211TSCL,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),171,01:211TSCLL,"Tuscaloosa Group, Lower",211TSCLL,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),172,01:211TSCLM,"Tuscaloosa Group, Middle",211TSCLM,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),173,01:211TSCLU,"Tuscaloosa Group, Upper",211TSCLU,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),174,01:211TUCL,Tuscaloosa Group,211TUCL,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),175,01:211TUCLL,"Tuscaloosa Group, Lower Member",211TUCLL,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),176,01:211TUCLM,"Tuscaloosa Group, Middle Member",211TUCLM,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),177,01:211TUCLU,"Tuscaloosa Group, Upper Member",211TUCLU,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),178,01:217CRCSL,Lower Cretaceous Series,217CRCSL,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),179,01:217VICK,Vick Formation,217VICK,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),180,01:220JCTC,Jurassic-Triassic Systems,220JCTC,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),181,01:220JRSC,Jurassic System,220JRSC,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),182,01:230TCPM,Triassic-Permian Systems,230TCPM,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),183,01:230TRSC,Triassic System,230TRSC,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),184,01:300PLZC,Paleozoic Erathem,300PLZC,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),185,01:310PMPV,Permian-Pennsylvanian Systems,310PMPV,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),186,01:310PRMN,Permian System,310PRMN,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),187,01:320PRKD,Parkwood Formation,320PRKD,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),188,01:320PSLV,Pennsylvanian System,320PSLV,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),189,01:320PVMP,Pennsylvanian-Mississippian Systems,320PVMP,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),190,01:324PSLVL,Middle-Lower Pennsylvanian Series,324PSLVL,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),191,01:324PSVL,Pottsville Formation,324PSVL,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),192,01:330MSSP,Mississippian System,330MSSP,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),193,01:331BNGR,Bangor Limestone,331BNGR,10/10/2019 10:42:35 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),194,01:331FLYD,Floyd Shale,331FLYD,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),195,01:331HRSL,Hartselle Sandstone,331HRSL,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),196,01:331MNGL,Monteagle Limestone,331MNGL,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),197,01:331MSSPU,"Mississippian, Upper",331MSSPU,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),198,01:331PNNG,Pennington Formation,331PNNG,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),199,01:331PRDM,Pride Mountain Formation,331PRDM,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),200,01:331TCMB,Tuscumbia Limestone,331TCMB,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),201,01:337FRPN,Fort Payne Chert/formation,337FRPN,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),202,01:337MPDV,Mississippian-Devonian System,337MPDV,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),203,01:337MSSPL,"Mississippian, Lower",337MSSPL,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),204,01:337MURY,Maury Formation,337MURY,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),205,01:340DVNM,Devonian System,340DVNM,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),206,01:340DVSL,Devonian-Silurian Systems,340DVSL,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),207,01:341CTNG,Chattanooga Shale,341CTNG,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),208,01:341DVNNU,"Devonian, Upper",341DVNNU,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),209,01:344DVNNM,"Devonian, Middle",344DVNNM,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),210,01:344DVSL,Devonian-Silurian Systems,344DVSL,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),211,01:344FRGM,Frog Mountain Sandstone,344FRGM,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),212,01:350RDMN,Red Mountain Formation,350RDMN,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),213,01:350SLRN,Silurian System,350SLRN,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),214,01:354WYNE,Wayne Group,354WYNE,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),215,01:357BFLD,Brassfield Limestone,357BFLD,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),216,01:360ODVC,Ordovician System,360ODVC,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),217,01:361FRVL,Fernvale Limestone,361FRVL,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),218,01:361INMN,Inman Formation,361INMN,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),219,01:361LPRS,Leipers Limestone,361LPRS,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),220,01:361MNNI,Mannie Shale,361MNNI,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),221,01:361ODVCU,"Ordovician, Upper",361ODVCU,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),222,01:361SQTC,Sequatchie Formation,361SQTC,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),223,01:364ATNS,Athens Shale,364ATNS,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),224,01:364ATTL,Attalla Chert Conglomerate Member of Chickamauga Limestone,364ATTL,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),225,01:364BGBC,Bigby and Cannon Limestones,364BGBC,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),226,01:364CKMG,Chickamauga Limestone,364CKMG,10/10/2019 10:42:36 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),227,01:364CLVM,Colvin Mountain Sandstone,364CLVM,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),228,01:364CRRS,Carters Limestone,364CRRS,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),229,01:364CTYS,Catheys Limestone,364CTYS,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),230,01:364GEPR,Greensport Formation,364GEPR,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),231,01:364HRMG,Hermitage Formation,364HRMG,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),232,01:364LLOK,Little Oak Limestone,364LLOK,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),233,01:364LNOR,Lenoir Limestone,364LNOR,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),234,01:364NSVL,Nashville Group,364NSVL,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),235,01:364ODVCM,"Ordovician, Middle",364ODVCM,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),236,01:364SRVR,Stones River Group,364SRVR,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),237,01:367CPPC,Chepultepec Dolomite,367CPPC,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),238,01:367KNOX,Knox Group,367KNOX,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),239,01:367KNOXG,Knox Group,367KNOXG,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),240,01:367LNGV,Longview Limestone,367LNGV,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),241,01:367NEWL,Newala Limestone,367NEWL,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),242,01:367ODVCL,"Ordovician, Lower",367ODVCL,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),243,01:367ODVL,Odenville Limestone,367ODVL,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),244,01:367OVCB,Ordovician-Cambrian Systems,367OVCB,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),245,01:370CBPB,Cambrian System-Precambrian Erathem,370CBPB,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),246,01:370CMBR,Cambrian System,370CMBR,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),247,01:371BIBB,Bibb Dolomite,371BIBB,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),248,01:371CMBRD,Upper-Middle Cambrian Series,371CMBRD,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),249,01:371CMBRU,"Cambrian, Upper",371CMBRU,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),250,01:371CNSG,Conasauga Formation,371CNSG,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),251,01:371CPRG,Copper Ridge Dolomite,371CPRG,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),252,01:371KNOX,Knox Group,371KNOX,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),253,01:374BFLD,Brierfield Dolomite,374BFLD,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),254,01:374CMBRM,"Cambrian, Middle",374CMBRM,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),255,01:374CNSG,Conasauga Formation,374CNSG,10/10/2019 10:42:37 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),256,01:374KTON,Ketona Dolomite,374KTON,10/10/2019 10:42:37 AM,Alabama
