Domain,Unique Identifier,Name,Description,Last Change Date
Result Temperature Basis(ResultTemperatureBasisText),25,44.5 Deg C,44.5 degrees Celsius (C) are equal to 112.1 degrees Fahrenheit (F),3/5/2014 1:44:00 PM
Result Temperature Basis(ResultTemperatureBasisText),9,45 Deg C,45 degrees Celsius (C) are equal to 113 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),39,450 Deg C,450 degrees Celsius (C) are equal to 842 degrees Fahrenheit (F),1/19/2024 12:55:13 PM
Result Temperature Basis(ResultTemperatureBasisText),10,50 Deg C,50 degrees Celsius (C) are equal to 122 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),11,55 Deg C,55 degrees Celsius (C) are equal to 131 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),12,60 Deg C,60 degrees Celsius (C) are equal to 140 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),35,"60F,14.73psi",60 degrees Fahrenheit and 14.73 pounds per square inch absolute,1/8/2024 12:05:55 PM
Result Temperature Basis(ResultTemperatureBasisText),13,65 Deg C,65 degrees Celsius (C) are equal to 149 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),14,70 Deg C,70 degrees Celsius (C) are equal to 158 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),15,75 Deg C,75 degrees Celsius (C) are equal to 167 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),16,80 Deg C,80 degrees Celsius (C) are equal to 176 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),17,85 Deg C,85 degrees Celsius (C) are equal to 185 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),18,90 Deg C,90 degrees Celsius (C) are equal to 194 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),19,95 Deg C,95 degrees Celsius (C) are equal to 203 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),32,Heated,"Heated, temperature not specified",12/4/2023 10:30:19 AM
Result Temperature Basis(ResultTemperatureBasisText),33,Room temp,"Room temperature, temperature not specified",12/4/2023 10:30:19 AM
Result Temperature Basis(ResultTemperatureBasisText),95,STP,STP means Standard Temperature and Pressure. It is defined (0 deg Celsius) and 1 atm pressure. Solutions be at 1 M concentration STP is used for calculations involving gases that approximate ideal gas,4/19/2020 11:31:59 AM
Result Temperature Basis(ResultTemperatureBasisText),34,sp.gr. temp,Specific gravity test temperature. This temperature is 4 degrees Celsius (39.2 degrees Fahrenheit) for water,1/8/2024 12:18:22 PM

