VALUE,DESCRIPTION,DEFINITION
LG_BULK_FUEL,LARGE BULK FUEL STORAGE/DISTRIBUTION FACILITY,"A group of large above ground storage tanks (ASTs) usually used to store petroleum products, (i.e., marine terminals, petroleum distribution facilities), with a total facility volume greater than 1320 gallons (requires a Spill Prevention, Control and Coun"
LAST,LEAKING ABOVEGROUND STORAGE TANK,"(LAST). A container, 90% or more of which is above the ground, which is used to hold oil and other petroleum derived products.  It is considered to be leaking if there is some evidence that it has released some of its contents to the environment, includin"
LUST,LEAKING UNDERGROUND STORAGE TANK,"(LUST). A container, 10% or more of which is beneath the surface of the ground, which is used to hold oil and other petroleum derived products. It is considered to be leaking if there is some evidence that it has released some of its contents to the envir"
MAR/BOAT,MARINA/BOATYARD,"A waterfront location where large concentrations of boats are stored, fueled, repaired or constructed. Usually identified by signage during watershed inspections or from shorefront boat survey. Generally restricted to clearly commercial operations."
MARINE,MARINE,"A marine location (with a typical salinity greater than 25 parts per thousand) where monitoring or assessment activities for water or sediment quality, habitat condition, and/or biological communities or organisms occur."
MYST_SP,MYSTERY SPILL,"A spill at which, although the contaminant is known as well as the impacted location, the source of the contaminant was unknown at the time that the data was reported."
NPS,NON-POINT SOURCE,"Stormwater runoff from these sites may carry fertilizer, pesticides, nutrients and other compounds which may contaminate ground and surface water. Includes golfcourses, industrial complexes (incinerators, pulp and papermills, industrial parks, manufacturi"
LQG,RCRA LARGE QUANTITY GENERATOR,A Resource Conservation and Recovery Act (RCRA) Fully Regulated Generator that generates more than 1000 kilograms of hazardous waste per month. Hazardous waste cannot be stored more than 90 days from date of generation.
MQG,RCRA MEDIUM QUANTITY GENERATOR,"A Resource Conservation and Recovery Act (RCRA) generator that generates between 100 and 1000 kilograms (220-2200 lbs) of hazardous waste per month, either on average per month or exceeding 100 kg in any one month."
RCRA_REM,RCRA REMEDIATION,"A Resource Conservation and Recovery Act (RCRA) hazardous treatment, storage, or disposal site at which a hazardous waste generator is conducting site and groundwater remediation."
SQG,RCRA SMALL QUANTITY GENERATOR,A Resource Conservation and Recovery Act (RCRA) generator that generates less than 100 kilograms of hazardous waste per month AND accumulates no more than 55 gallons (1 drum; ~208 kg) of hazardous waste per month.
RES_UTIL,RESIDUALS UTILIZATION SITE,"A site for materials that are suitable for controlled land application, resulting in vegetative assimilation, attenuation, or improved soil condition. Includes residuals from processing vegetables, fish, and other foods. (See also ash and sludge categorie"
RES_EXTR_GW,RESOURCE EXTRACTION (GROUNDWATER),"A site where groundwater is extracted for human consumption, such as for bottling and sale on the open market, or for sale and distribution on a municipal level."
RES_EXTR,RESOURCE EXTRACTION ACTIVITY,"A site at which surface or underground mining has been or is being conducted. These sites may include gravel pits, above ground or underground metallic mineral mines, etc."
RIVER/STREAM,RIVER/STREAM,"A natural stream of water where monitoring or assessment activities for water or sediment quality, habitat condition, and/or biological communities or organisms take place."
S/S,SAND/SALT STORAGE,"An area at which salt, or sand-and-salt, are stored in preparation for road and highway deicing."
S/I_WWTF,SANITARY & INDUSTRIAL WWTF,"A wastewater treatment facility (WWTF) used for treating sanitary or industrial wastewater. This may include spray irrigation sites, aerated lagoons, stabilization ponds, polishing ponds, sand filters,and other similar structures used for that purpose."
SEPT/STOR,SEPTAGE DISPOSAL/STORAGE SITE,"A site on which a mixture of liquid and solid septage have been spread on the land, or where such waste is stored. Septage sources may be domestic or commercial. "
SL_UTIL,SLUDGE UTILIZATION SITE,"A site at which the solid, semi-solid or liquid material generated by a municipal, commercial or industrial wastewater treatment plant is spread on the land."
SM_BULK_FUEL,SMALL BULK FUEL STORAGE/DISTRIBUTION FACILITY,"A small above ground storage tank (AST) usually used to store petroleum products, with a total facility volume less than 1320 gallons. This includes marine, highway, and other commercial, private, and public entities supplied by petroleum distributors."
STRM_SWR,STORM SEWER,A storm drain or sewer system designed to drain excess rain and groundwater from impervious surfaces. May include mixing of storm water and sewage.
STREAM/RIVER,STREAM/RIVER BIOMONITORING,"A site in classified streams or rivers where monitoring or assessment activities for quality of water, sediment, habitat, and/or biological communities occur. Includes waterbodies called creek or brook."
SIA,SURFACE IMPOUNDMENT ASSESSMENT SITE,An unlicensed site once used for the disposal of liquid wastes.
SURF_SP,SURFACE SPILL,"A site where oil has been released onto the ground, not caused by a leak from a storage tank. Common examples include heating oil and gasoline tank overfills, tanker truck accidents and releases from gasoline tanks mounted on vehicles."
SWATL,SWAT (SURFACE WATER AMBIENT TOXICS) - LAKES,Sites in lakes or ponds at which organisms (predominantly fish) and sediments are monitored for contamination with toxic chemicals such as heavy metals or polychlorinated biphenyls (PCBs).
SWATM,SWAT (SURFACE WATER AMBIENT TOXICS) - MARINE,"Sites in estuaries and near-shore marine environments at which organisms (mussels, lobster, etc.) and sediments are monitored for contamination with toxic chemicals such as heavy metals or polychlorinated biphenyls (PCBs)."
SWATRS,SWAT (SURFACE WATER AMBIENT TOXICS) - RIVERS & STREAMS,Sites in rivers or streams at which organisms (predominantly fish) and sediments are monitored for contamination with toxic chemicals such as heavy metals or polychlorinated biphenyls (PCBs).
TS,TRANSFER STATION,"A waste facility constructed and managed for storage, compaction and/or placement of solid waste for movement to another waste facility."
UNC_OTHER,"UNCONTROLLED SITE, ALL OTHER","An uncontrolled hazardous substance site, not DOD or NPL (see respective categories). A location at which hazardous substances came to be located, where the site poses a threat or hazard to any person or the natural environment and requires action to abat"
UNC_DOD,"UNCONTROLLED SITE, DOD","An uncontrolled hazardous substance site owned by the Department of Defense (DOD). A location at which hazardous substances came to be located, where the site poses a threat or hazard to any person or the natural environment and requires action to abate/c"
UNC_NPL,"UNCONTROLLED SITE, NPL","A Superfund (National Priorities List) uncontrolled hazardous substance site. A location at which hazardous substances came to be located, where the site poses a threat or hazard to any person or the natural environment and requires action to abate/clean-"
UIC,UNDERGROUND INJECTION SITE,"A site which discharges into sources of drinking water. Includes sump and separator systems discharging to wastewater disposal systems, septic systems that discharge industrial/commercial wastewater (photoprocessing, drycleaning, etc.), and dry wells for "
UOSF,UNDERGROUND OIL STORAGE FACILITY,"Any underground oil storage tank or tanks, together with associated piping and dispensing facilities, located under any land at a single location and used, or intended to be used, for the storage or supply of oil. "
UNIV_WASTE_HAND,UNIVERSAL WASTE HANDLER,"Any type of universal waste storer including a consolidator, generator-owned central accumulator, or municipal transfer station or recycling center."
UNS_SUB,UNSEWERED SUBDIVISION,"A high density commercial or residential subdivision, condominium, or trailer park which depends on individual subsurface wastewater disposal systems for the disposal of sanitary wastewater."
VRAP,VOLUNTARY RESPONSE ACTION PROGRAM (VRAP),"Site where applicants voluntarily investigate and cleanup properties to the DEP's satisfaction, in exchange for protections from DEP enforcement actions."
WETLAND,WETLAND,"An area inundated or saturated by surface or groundwater where monitoring or assessment activities for quality of water, sediment, habitat, and/or biolgoical communities occur. Includes shallow portions of ponds, lake littoral zones and low gradient strea"
WILD_FOCUS_A,WILDLIFE FOCUS AREA,"	An area used for the collection and assessment of wildlife samples. This can include specific or multiple habitat areas, and can be within either a single town or across multiple towns."
WOOD_PROD,WOOD PRODUCTS FACILITY,"Includes woodyards, wood fuel and woodwaste storage piles associated with power plants, lumberyards, sawmills."
