VALUE,DESCRIPTION,PARAMETER_GROUP
UJ,"NOT DETECTED ABOVE THE ASSOCIATED QUANTITATION LIMIT AND ESTIMATED DUE TO VARIOUS QC DEVIATIONS, INCLUDING ELEVATED OR ESTIMATED QUANTITATION LIMIT.",ALL
UT,NOT DETECTED ABOVE THE ASSOCIATED QUANTITATION LIMIT; AND ANALYTE RECALCULATED AGAINST ALTERNATE LABELED COMPOUND(S) OR INTERNAL STANDARD,ALL
NQ,NOT QUANTITATED,ALL
EMPC,"PEAK DETECTED, BUT DID NOT MEET QUANTIFICATION CRITERIA, RESULT REPORTED REPRESENTS THE ESTIMATED MAXIMUM POSSIBLE CONCENTRATION",ALL
J/EMPC,"PEAK DETECTED, BUT DID NOT MEET QUANTIFICATION CRITERIA, RESULT REPORTED REPRESENTS THE ESTIMATED MAXIMUM POSSIBLE CONCENTRATION & ASSOCIATED VALUE IS AN ESTIMATE BELOW QUANTITATION/ REPORTING LIMIT OR INDICATES AN ESTIMATED RESULT DUE TO AN ASSOCIATED QC",ALL
C,PESTICIDE CONFIRMED BY GC/MS.,ORGANIC
PO,POSITIVE (COLIFORM BACTERIA AND OILSCREEN TESTS),BACTERIA
N,PRESENCE OF AN ANALYTE IN WHICH A TENTATIVE ID CAN BE MADE AND VALUE REPRESENTS ITS APPROXIMATE CONCENTRATION,ORGANIC
*,QC RESULTS NOT WITHIN CONTROL LIMITS,ALL
*/EMPC,"QC RESULTS NOT WITHIN CONTROL LIMITS/PEAK DETECTED, BUT DID NOT MEET QUANTIFICATION CRITERIA, RESULT REPORTED REPRESENTS THE ESTIMATED MAXIMUM POSSIBLE CONCENTRATION",ALL
E,REPORTED VALUE IS ESTIMATED DUE TO PRESENCE OF INTERFERENCE (INORGANIC) OR COMPOUND EXCEEDED UPPER LEVEL OF CALIBRATION RANGE (ORGANIC),ALL
E*,REPORTED VALUE IS ESTIMATED DUE TO PRESENCE OF INTERFERENCE (INORGANIC) OR COMPOUND EXCEEDED UPPER LEVEL OF CALIBRATION RANGE (ORGANIC) AND QC RESULTS ARE NOT WITHIN CONTROL LIMITS,ALL
S,REPORTED VALUE WAS DETERMINED BY METHOD OF STANDARD ADDITIONS (MSA),ALL
FAIL,RESULT FAILS (CRITERIA BASED ON THE METHOD),ALL
PASS,RESULT PASSES (CRITERIA BASED ON THE METHOD),ALL
R,RESULTS ARE REJECTED DURING DATA VALIDATION DUE TO SERIOUS ANALYTICAL OR SAMPLING DEFICIENCIES.,ALL
D,SAMPLE RESULT THAT REQUIRED DILUTION.,ALL
SA,SATURATED,ALL
SP,SLIGHTLY POSITIVE,ALL
PK,SLIGHTLY POSITIVE (OILSCREEN TEST),ALL
Z,SURROGATE OR SPIKE DILUTED OUT OF SAMPLE,ORGANIC
TR,TRACE (IRON AND SULFUR REDUCING BACTERIA),BACTERIA
K,TRACE LEVEL BELOW STATED REPORTING LIMIT (HETL),ALL
